Country,Name,Profession,Influence Score
India,Bobby Jindal, Elected Officials,416295
India,Ajit Jain, Business Executives,36679
India,Shauna Singh Baldwin, Literature,36574
India,Ravi Jagannathan, Scholars,36532
India,Kartar Dhillon, Activists/Civil Rights,36261
India,Arun Luthra, Musicians,36212
India,Rachel Paulose, Civil Servants,36200
India,Sanjiv Ahuja, Former,36192
India,Debraj Ray, Scholars,36184
India,Vikram Amar, Scholars,36177
India,Deepti Gupta, Actors and actresses,36140
India,Ajay Naidu, Actors and actresses,36110
India,Bala K. Srinivas, Elected Officials,36096
India,Shrinivas Kulkarni, Scholars,36094
India,Shaheen Sheik, Musicians,36008
India,Ramesh Jain, Founders / Entrepreneurs / Venture Capitalists,35840
India,Naren Bakshi, Founders / Entrepreneurs / Venture Capitalists,35833
India,Deep Katdare, Actors and actresses,35772
India,Kalpana Pandit, Actors and actresses,35530
India,Satish Mohan, Elected Officials,35526
India,Asim Ghosh, Business Executives,35408
India,Vyomesh Joshi, Business Executives,35395
India,K. R. Rao, Scholars,35330
India,Rakesh Jain, Scholars,35311
India,Sujata Day, Actors and actresses,35277
India,Parag Khanna, Literature,35262
India,Rishi Reddi, Literature,35159
India,Krishan Sabnani, Science and technology,35065
India,Sabita Singh, Civil Servants,35054
India,Rajat Parr, Culinary arts,34953
India,Shibani Joshi, Media,34937
India,Vijaya Lakshmi Emani, Activists/Civil Rights,34846
India,Pramod P. Khargonekar, Dean/President,34818
India,Medha Yodh, Scholars,34737
India,G. S. Maddala, Mathematicians,34630
India,Arvind Panagariya, Scholars,34580
India,Pramod Khargonekar, Science and technology,34502
India,Anil Nerode, Mathematicians,34490
India,Ramesh Agarwal, Scholars,34490
India,Jainendra K. Jain, Scholars,34458
India,Firdous Bamji, Actors and actresses,34255
India,Jaishree Odin, Scholars,34096
India,Adam Mamawala, Comedians,33900
India,Angel Boi, Musicians,31194
India,Jay Goyal, Elected Officials,33864
India,"Harvinder ""Harry"" Anand", Elected Officials,33832
India,Indu Sundaresan, Literature,33743
India,Thomas Tevana, Actors and actresses,33735
India,Falu, Musicians,33681
India,Ajay Mehta, Actors and actresses,33568
India,Syma Chowdhry, Media,33503
India,Rangaswamy Srinivasan, Science and technology,33405
India,Stephen Amritraj, Sports,33379
India,Rakesh Khurana, Dean/President,33313
India,Rajeev Srinivasan, Media,33305
India,Geeta Menon, Dean/President,33194
India,Sarayu Rao, Activists/Civil Rights,33126
India,Sushil Nadkarni, Sports,33039
India,Nikesh Arora, Business Executives,32951
India,Prakash Puram, Business Executives,32863
India,Raja Fenske, Actors and actresses,32824
India,Reena Ninan, Media,32813
India,Joy Cherian, Civil Servants,32743
India,Shishir Kurup, Actors and actresses,32696
India,Sharmila Bhattacharya, Science and technology,32593
India,Sameer Parekh, Founders / Entrepreneurs / Venture Capitalists,32578
India,Neeraj Khemlani, Activists/Civil Rights,32569
India,Ravindra Khattree, Scholars,32504
India,Rohini Kesavan Srihari, Founders / Entrepreneurs / Venture Capitalists,32384
India,Sanjay Beach, Sports,32255
India,Krishna Saraswat, Scholars,32213
India,Amit Patel, Medicine,32188
India,Ravi Kapoor, Actors and actresses,32112
India,Deepak Ananthapadmanabha, Media,32097
India,Vijay Raghunath Pandharipande, Science and technology,32050
India,Bobby Routh, Actors and actresses,31969
India,Vasant Rai, Musicians,31876
India,Saumitra Saxena, Literature,31677
India,Arvind Rajaraman, Science and technology,31604
India,Gaurav Dhillon, Founders / Entrepreneurs / Venture Capitalists,31585
India,Anant Raut, Civil Servants,31562
India,Mehul Shah, Activists/Civil Rights,31508
India,Somen Banerjee, Founders / Entrepreneurs / Venture Capitalists,31462
India,Dipa Ma, Yoga,31386
India,Serena Varghese, Actors and actresses,31358
India,V. V. Chari, Scholars,31350
India,Kausalya Hart, Scholars,31255
India,Dinesh Paliwal, Business Executives,31255
India,Ed Viswanathan, Religion,31240
India,Paul Varghese, Comedians,31196
India,Anjli Jain, Dean/President,31173
India,Vamsi Mootha, Science and technology,31154
India,Sunil Nayar, Activists/Civil Rights,31132
India,Bindu Subramaniam, Musicians,31075
India,Vineeta Rastogi, Science and technology,30971
India,Janaki Ram, Literature,30935
India,Kashmir Gill, Elected Officials,30698
India,Thomas Abraham, Activists/Civil Rights,30603
India,Rono Dutta, Business Executives,30582
India,Rajiv Dutta, Science and technology,30554
India,Abbas Sadriwala, Business Executives,30501
India,Christine Philip, Fashion designers,30463
India,Naresh Dalal, Scholars,30453
India,Mukesh Chatter, Founders / Entrepreneurs / Venture Capitalists,30374
India,Anish Shah, Comedians,30338
India,Arvind Raghunathan, Business Executives,30014
India,Vijay K. Dhir, Dean/President,30008
India,Preetish Nijhawan, Founders / Entrepreneurs / Venture Capitalists,29921
India,Avtar Saini, Science and technology,29790
India,Suhas Patil, Founders / Entrepreneurs / Venture Capitalists,29540
India,Murugan Pal, Founders / Entrepreneurs / Venture Capitalists,29507
India,Thomas Zacharia, Science and technology,29474
India,Vinita Nair, Media,29458
India,C. M. Naim, Scholars,29411
India,Paul Antony, Medicine,29370
India,Deepak Pandya, Science and technology,29291
India,Nimi McConigley, Elected Officials,29238
India,Sanjiv Sidhu, Founders / Entrepreneurs / Venture Capitalists,29220
India,Bharat Desai, Founders / Entrepreneurs / Venture Capitalists,29175
India,Salman Akhtar, Scholars,29136
India,Naeem Khan, Fashion designers,29124
India,Purva Bedi, Actors and actresses,29053
India,Laxmi Poruri, Sports,29021
India,Rahul Kumar, Actors and actresses,28936
India,Stephanie Sengupta, Activists/Civil Rights,28728
India,Jessie Singh Saini, Founders / Entrepreneurs / Venture Capitalists,28444
India,Mahadev Satyanarayanan, Science and technology,28366
India,V. Mohan Reddy, Science and technology,28294
India,Deepak Sarma, Scholars,28273
India,Jagadeesh Moodera, Scholars,28232
India,Kris Kolluri, Civil Servants,28147
India,Ajay Sahgal, Activists/Civil Rights,28068
India,Prosenjit Kundu, Activists/Civil Rights,28019
India,Piyare Jain, Scholars,27912
