0
Nigeria,14.2,1.8,23.9,2.1,12.7,1.9,0.4,7.5,12.7,6.8,11.3,4.6
Saudi Arabia,16.7,3.2,23.3,1.9,5.8,1.1,24.0,8.1,4.2,2.4,6.7,2.9
South Korea,17.0,3.1,12.7,12.8,4.3,4.5,3.7,5.3,7.4,11.9,13.4,3.9
Spain,24.2,1.7,16.4,6.9,2.6,10.2,2.5,3.9,4.8,7.0,15.4,4.5
Taiwan,21.0,3.3,17.1,12.5,4.4,2.2,4.2,6.8,10.9,6.4,9.2,2.1
Thailand,21.9,2.2,16.7,8.8,4.1,1.1,4.8,7.9,10.2,6.1,12.8,3.5
Turkey,15.3,4.2,26.5,5.8,0.8,2.4,3.1,9.9,8.9,12.2,9.0,1.8
United Kingdom,17.3,4.0,5.3,7.0,3.5,7.1,0.1,3.3,7.4,15.6,21.8,7.6
Venezuela,28.1,1.6,15.7,6.6,3.3,1.5,11.0,4.1,4.8,6.4,11.8,5.2
Vietnam,37.5,0.9,10.2,3.0,4.3,1.2,4.1,8.1,7.6,5.1,9.2,8.8
